Protein	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
gadC	2.3651	1.5031	3.0056	0	1.0448	1.0272	0	0	0	7.0118	6.916	7.0685	10.786	15.505	13.632	10.789	19.611	9.5015	11.794	10.49	10.12	5.7687	7.3789	8.1207	2.1193	3.701	4.1045	1.1729	0	0	0	1.1068	1.0925	3.1399	1.9841	0.97882	4.1003	2.0561	3.2251	4.9845	4.8128	3.8868	7.9457	6.5695	6.331	4.7049	4.2674	5.0272	3.4825	4.5032	4.38	1.0795	1.1438	0	0	0	0	1.0895	0	0	3.8986	2.1086	2.2861	3.7526	3.9153	5.3362	6.0735	8.8155	5.7803	9.1532	6.8534	9.7451
galE	1.5768	0.75156	1.5028	0	0	0	0	0	0																0	0.74021	0.82091	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
galF	3.1535	1.5031	2.2542	1.0372	1.0448	2.0543	1.023	0	0	3.8954	4.6107	3.9269	2.3969	2.215	1.136	1.9616	2.3072	2.1115	3.2164	2.0981	2.024	1.9229	1.0541	1.0151	3.179	1.4804	2.4627	0	0	0	1.1235	0	0	2.0932	3.9683	3.9153	3.0752	2.0561	1.075	1.9938	0.96256	2.9151	1.9864	0	1.0552	1.882	0	2.0109	3.4825	2.2516	2.19	0	0	1.0148	0	0.98969	0	2.179	0	4.1562	3.8986	1.0543	0	0.93814	2.9364	1.7787	0	1.959	0	3.6613	0.97906	2.6578
galU	3.1535	2.2547	3.0056	1.0372	2.0896	2.0543	3.069	2.1849	1.0932	3.1163	3.8422	3.1416	0	1.1075	1.136	1.9616	2.3072	1.0557	2.1443	3.1471	2.024	3.8458	3.1624	4.0604	2.1193	2.9608	3.2836	2.3457	1.0714	0	1.1235	3.3204	1.0925	2.0932	2.9762	1.9576	1.0251	2.0561	0	1.9938	1.9251	3.8868	3.9728	2.1898	2.1103	3.7639	2.1337	3.0163	2.3217	1.1258	2.19	0	1.1438	1.0148	1.0515	0	1.9345	2.179	1.228	2.0781	1.9493	3.1629	2.2861	1.8763	2.9364	2.6681	2.0245	1.959	1.9268	1.8306	2.9372	0.88592
gapA	18.921	12.025	24.044	14.521	6.2689	9.2445	18.414	13.109	17.491	27.268	22.285	22.776	34.755	26.58	24.993	29.424	29.993	29.56	36.453	31.471	27.324	32.689	33.732	31.468	29.67	22.946	21.344	10.556	25.714	16.381	13.482	15.495	12.017	29.305	31.746	29.364	41.003	39.066	35.476	32.898	30.802	28.18	36.749	38.322	32.71	24.465	34.14	30.163	17.412	18.013	12.045	16.193	21.733	14.207	17.876	21.773	23.214	34.864	33.156	34.289	26.315	31.629	27.433	31.897	31.322	26.681	34.416	31.344	31.792	26.544	27.414	24.806
gapC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
gatA	0	0.75156	1.5028	0	0	0	0	0	0																2.1193	2.9608	3.2836	0	0	1.0921	0	0	0																1.1608	2.2516	1.095	1.0795	0	2.0296	0	0	0															
gatY	0	1.5031	1.5028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2206	0	0	0	1.0921	0	0	0	0	0.99207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5032	1.095	1.0795	0	0	0	0	0	0	0	1.0391	0	0	0	0	0	0	0	0	0	0.91532	0	0.88592
gatZ	5.5187	3.7578	5.2597	3.1117	2.0896	1.0272	2.046	3.2774	4.3727	0.77909	0	0.78539	0	0	0	0	0	0	0	0	0	0	0	0	7.4176	8.8825	8.2091	7.0371	6.4285	6.5525	0	1.1068	2.1849	1.0466	1.9841	0.97882	1.0251	0	1.075	0	0	0	0	0	0	0	0	0	9.2866	7.8806	7.665	6.4771	5.7192	2.0296	2.103	3.9588	1.9345	1.0895	1.228	2.0781	0	0	0	0.93814	0	0	1.0122	0.9795	0	0.91532	0.97906	2.6578
gcd	0	0	0	1.0372	0	0	0	0	0	2.3373	2.3053	2.3562	2.3969	3.3226	3.4081	4.904	3.4608	3.1672	4.2886	3.1471	4.048	6.7302	4.2165	6.0906	0	0	0	0	0	0	0	0	0	2.0932	1.9841	2.9364	3.0752	2.0561	2.15	1.9938	1.9251	1.9434	2.9796	2.1898	3.1655	7.5278	6.4012	6.0326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93814	0.97882	0	3.0367	2.9385	0.96338	2.746	1.9581	3.5437
gcvH	0.78838	0	0	1.0372	0	0	2.046	3.2774	2.1864	1.5582	2.3053	3.1416	3.5953	2.215	2.2721	2.9424	1.1536	1.0557	2.1443	2.0981	2.024	0.96145	1.0541	0	1.0597	1.4804	1.6418	0	0	0	1.1235	0	1.0925	2.0932	1.9841	0.97882	4.1003	4.1122	4.3001	3.9876	1.9251	3.8868	2.9796	2.1898	1.0552	2.8229	2.1337	2.0109	2.3217	1.1258	1.095	0	0	0	0	0	0	0	0	0	0.97464	3.1629	1.1431	2.8144	3.9153	3.5575	2.0245	1.959	1.9268	0.91532	0.97906	0
gcvP	0	0	0	1.0372	0	0	1.023	2.1849	1.0932	4.6745	5.3791	7.0685	3.5953	4.4301	6.8162	2.9424	4.6143	4.2229	4.2886	7.3432	3.036	4.8073	4.2165	3.0453	0	0	0	0	0	0	0	0	0	0	0.99207	0	6.1504	6.1683	7.5251	4.9845	2.8877	3.8868	3.9728	3.2847	3.1655	4.7049	2.1337	6.0326	0	1.1258	0	0	0	0	0	0	0	0	0	0	0	0	1.1431	5.6288	4.8941	4.4468	7.0857	6.8565	8.6704	4.5766	1.9581	5.3155
gcvT										4.6745	5.3791	4.7123	4.7938	4.4301	4.5441	3.9232	3.4608	4.2229	5.3607	3.1471	2.024	0.96145	2.1083	4.0604										1.0466	2.9762	1.9576	5.1253	5.1403	6.4501	1.9938	4.8128	3.8868	0.99321	1.0949	2.1103	2.8229	3.2006	3.0163										0	0	0	0.97464	1.0543	0	2.8144	1.9576	4.4468	3.0367	1.959	2.8901	1.8306	0.97906	1.7718
gdhA	0	0	0	0	0	0	1.023	1.0925	1.0932	1.5582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0251	0	1.075	0	0.96256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0543	0	0.93814	0	0.88936	0	0.9795	0.96338	0.91532	0.97906	0.88592
ggt										0	0	0.78539	0	0	0	0	0	0	0	0	0	0.96145	0	1.0151										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glf	7.0954	7.5156	6.7625	7.2606	7.3137	7.1901	8.184	7.6472	5.4659	5.4536	5.3791	4.7123	3.5953	2.215	3.4081	1.9616	2.3072	1.0557	1.0721	1.049	2.024	0	0	0	0	5.1814	4.9255	3.5186	2.1428	4.3683	4.4939	3.3204	4.3698	4.1865	3.9683	3.9153	4.1003	4.1122	3.2251	0.99691	1.9251	1.9434	0.99321	1.0949	1.0552	0.94098	1.0669	0	4.6433	3.3774	5.475	7.5566	5.7192	6.0887	5.2576	4.9485	6.7707	5.4475	6.14	5.1953	3.8986	4.2172	4.5722	3.7526	2.9364	2.6681	2.0245	0.9795	0.96338	0.91532	0.97906	1.7718
glgA										0	1.5369	0	0	0	0	0	0	0	1.0721	1.049	2.024	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glgC										0.77909	0.76845	0.78539	0	0	2.2721	0	1.1536	0	0	0	1.012	0.96145	1.0541	1.0151										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0.97464	0	0	0	0	0	0	0	0	0	0	0
glk	0.78838	2.2547	0	0	0	0	0	0	0																0	0.74021	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
glmM	3.1535	3.7578	5.2597	1.0372	2.0896	2.0543	1.023	1.0925	2.1864	3.1163	3.8422	3.1416	2.3969	2.215	2.2721	0	2.3072	2.1115	0	0	0	0.96145	0	0	0	2.2206	4.9255	1.1729	3.2142	1.0921	0	2.2136	4.3698	2.0932	2.9762	1.9576	3.0752	2.0561	2.15	1.9938	1.9251	0.97171	1.9864	1.0949	3.1655	0.94098	0	1.0054	2.3217	5.629	5.475	2.159	3.4315	1.0148	2.103	3.9588	0.96724	3.2685	1.228	5.1953	1.9493	2.1086	2.2861	2.8144	0.97882	1.7787	1.0122	0	1.9268	0.91532	0	0
glmS	11.037	9.0187	10.519	8.2978	6.2689	6.163	8.184	8.7396	8.7454	7.7909	9.2214	7.0685	4.7938	4.4301	3.4081	3.9232	4.6143	4.2229	8.5771	6.2942	5.06	4.8073	5.2707	3.0453	4.2386	5.1814	4.9255	3.5186	4.2857	3.2763	2.247	3.3204	3.2774	6.2797	6.9445	4.8941	4.1003	5.1403	3.2251	3.9876	4.8128	2.9151	4.966	3.2847	7.3861	3.7639	4.2674	3.0163	10.447	10.132	10.95	8.6361	6.863	5.0739	6.3091	5.9382	6.7707	6.537	6.14	7.2734	7.7971	6.3258	6.8583	6.567	5.8729	8.0043	7.0857	7.836	4.8169	6.4073	3.9162	6.2015
glmU										1.5582	0.76845	0.78539	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0.96338	0	0	0
glnA	3.9419	7.5156	7.5139	5.1861	7.3137	7.1901	9.207	9.8321	14.211	19.477	22.285	19.635	21.572	19.935	22.721	22.558	24.225	22.17	28.948	22.03	28.336	28.844	23.191	24.362	2.1193	5.1814	6.5673	0	1.0714	1.0921	3.3704	1.1068	3.2774	5.2331	3.9683	3.9153	15.376	16.449	10.75	9.9691	10.588	10.689	9.9321	13.139	12.662	12.233	9.6017	11.06	5.8041	6.7548	6.57	1.0795	3.4315	6.0887	1.0515	3.9588	2.9017	4.358	3.684	4.1562	3.8986	5.2715	2.2861	10.32	12.725	10.672	14.171	17.631	15.414	12.815	12.728	10.631
glnB	0	1.5031	2.2542	0	0	1.0272	0	0	1.0932	1.5582	1.5369	0.78539	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94098	0	0	2.3217	2.2516	2.19	0	0	0	0	0	0.96724	0	0	0	0	0	0	0	0	0	1.0122	0	0	0.91532	0.97906	2.6578
glnH	0	0	0	0	0	0	2.046	1.0925	2.1864	5.4536	5.3791	7.0685	2.3969	3.3226	3.4081	1.9616	3.4608	2.1115	4.2886	5.2451	6.0721	5.7687	7.3789	7.1057	1.0597	0.74021	0	0	0	0	0	0	0	1.0466	0	1.9576	2.0501	1.0281	1.075	0.99691	0	0	0.99321	1.0949	0	3.7639	2.1337	3.0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97906	0
glnK																			1.0721	1.049	1.012	0	1.0541	0																			0	0	0	0	0	0																			0	0	0	0	0	0
glnS	3.1535	3.7578	3.0056	4.1489	4.1793	4.1087	4.092	3.2774	3.2795	2.3373	3.0738	2.3562	2.3969	1.1075	1.136	0.98079	0	1.0557	0	1.049	0	0.96145	0	1.0151	2.1193	2.2206	1.6418	3.5186	3.2142	3.2763	3.3704	3.3204	4.3698	3.1399	2.9762	2.9364	2.0501	3.0842	3.2251	0.99691	1.9251	0.97171	0.99321	2.1898	2.1103	1.882	1.0669	1.0054	4.6433	4.5032	5.475	3.2386	3.4315	3.0443	3.1545	0.98969	2.9017	4.358	2.456	3.1172	1.9493	1.0543	2.2861	1.8763	0	2.6681	1.0122	0.9795	1.9268	1.8306	0	0.88592
glpD	1.5768	2.2547	4.5083	1.0372	0	0	0	0	0	7.7909	7.6845	8.6393	0	1.1075	0	0.98079	0	0	1.0721	0	2.024	2.8844	1.0541	3.0453	1.0597	0.74021	1.6418	0	0	1.0921	0	0	0	2.0932	0.99207	3.9153	2.0501	1.0281	1.075	0	0	0	0	0	0	0	0	0	0	2.2516	0	0	1.1438	0	5.2576	0	2.9017	5.4475	3.684	7.2734	3.8986	4.2172	4.5722	2.8144	3.9153	3.5575	4.049	3.918	3.8535	3.6613	3.9162	3.5437
glpF	2.3651	2.2547	1.5028	0	4.1793	2.0543	2.046	1.0925	1.0932	0.77909	0	0.78539	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9608	5.7464	2.3457	2.1428	3.2763	4.4939	2.2136	1.0925	5.2331	1.9841	0.97882	2.0501	1.0281	2.15	0	0	0	0	0	0	0	0	0	4.6433	2.2516	3.285	6.4771	5.7192	6.0887	1.0515	1.9794	2.9017	3.2685	3.684	5.1953	1.9493	1.0543	1.1431	0.93814	0	1.7787	0	0	0	0	0	0.88592
glpK	22.075	24.801	27.05	23.856	22.986	22.598	20.46	20.757	24.05	13.244	14.6	16.493	8.3891	12.183	12.496	8.8271	11.536	11.613	15.01	12.588	13.156	12.499	12.65	9.1358	37.088	31.089	31.195	30.494	31.071	29.486	25.84	29.884	27.311	21.979	19.841	21.534	14.351	10.281	13.975	6.9784	9.6256	8.7454	6.9525	5.4746	3.1655	7.5278	3.2006	10.054	31.342	27.019	27.375	28.067	33.171	30.443	26.288	30.681	30.952	25.058	24.56	27.016	20.467	25.303	25.147	17.825	17.619	16.898	14.171	14.693	15.414	13.73	11.749	13.289
glpQ	1.5768	3.0062	3.0056	0	1.0448	1.0272	0	0	0	0	0	0	0	0	0	0	0	0							0	2.2206	1.6418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							1.1608	1.1258	1.095	0	1.1438	1.0148	1.0515	0	0	1.0895	0	0	0	0	0	0	0	0						
glpT	0.78838	0	0.75139	1.0372	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	1.4804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	1.0391	0	0	0	0	0	0						
gltA	3.1535	2.2547	3.0056	2.0744	4.1793	4.1087	6.138	5.4623	6.5591	3.8954	4.6107	3.9269	3.5953	3.3226	3.4081	2.9424	3.4608	6.3344	5.3607	5.2451	5.06	3.8458	5.2707	6.0906	3.179	3.701	4.1045	4.6914	4.2857	3.2763	3.3704	4.4273	5.4623	9.4196	8.9286	7.8305	11.276	10.281	11.825	11.963	12.513	8.7454	13.905	10.949	13.717	11.292	12.802	14.076	3.4825	2.2516	2.19	4.3181	4.5754	4.0591	1.0515	1.9794	1.9345	10.895	11.052	11.43	10.721	10.543	8.0014	9.3814	10.767	10.672	9.1102	10.775	10.597	10.984	10.77	12.403
gltB	0	0	0	0	0	0	5.115	2.1849	3.2795	17.14	17.674	18.064	11.984	14.398	9.0883	6.8656	11.536	8.4458	11.794	7.3432	9.1081	10.576	9.4872	8.1207	0	0	0	0	0	0	0	0	0	2.0932	0.99207	0.97882	10.251	10.281	11.825	6.9784	8.663	7.7737	9.9321	7.6644	7.3861	9.4098	5.3343	4.0217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.01	9.7882	10.672	25.306	20.57	26.011	18.306	10.77	18.604
gltD	0	0	0	0	0	0	2.046	1.0925	1.0932	4.6745	5.3791	7.0685	7.1907	6.6451	4.5441	0.98079	1.1536	4.2229	3.2164	4.1961	5.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1003	4.1122	4.3001	5.9815	2.8877	1.9434	1.9864	2.1898	2.1103	1.882	1.0669	2.0109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6288	1.9576	3.5575	8.098	7.836	10.597	6.4073	3.9162	5.3155
gltI																			0	0	0	0	0	0																			0	0	0	0	1.0669	0																			0	0	0	0	0	0
gltX	11.826	10.522	9.768	9.335	11.493	12.326	10.23	8.7396	9.8386	10.907	9.9898	10.21	4.7938	6.6451	4.5441	4.904	5.7679	3.1672	7.505	5.2451	8.0961	4.8073	5.2707	6.0906	11.656	7.4021	8.2091	5.8643	8.5713	7.6446	6.7409	7.7477	6.5547	9.4196	9.9207	5.8729	9.2256	5.1403	5.3751	2.9907	2.8877	1.9434	3.9728	2.1898	3.1655	1.882	2.1337	2.0109	8.1258	9.0064	8.76	9.7157	8.0069	5.0739	8.4121	8.9072	9.6724	9.8055	9.8241	10.391	8.7718	8.4343	10.288	6.567	6.8517	6.2255	3.0367	4.8975	3.8535	4.5766	1.9581	5.3155
glyA	11.037	9.7703	11.271	10.372	11.493	10.272	11.253	12.017	12.025	19.477	19.211	19.635	20.374	18.828	22.721	25.501	24.225	24.282	26.804	28.324	23.276	27.882	27.408	28.423	4.2386	7.4021	9.8509	4.6914	4.2857	4.3683	5.6174	6.6409	2.1849	8.373	11.905	10.767	12.301	17.477	16.125	20.935	20.214	21.378	25.823	26.278	23.214	25.406	20.27	27.147	4.6433	3.3774	5.475	8.6361	5.7192	11.163	7.3606	8.9072	9.6724	14.163	13.508	11.43	13.645	16.869	12.574	27.206	24.47	22.234	28.343	29.385	29.865	31.121	33.288	29.235
glyQ	7.0954	6.764	6.0111	5.1861	4.1793	5.1358	6.138	5.4623	4.3727	4.6745	4.6107	3.1416	2.3969	5.5376	4.5441	1.9616	3.4608	1.0557	3.2164	2.0981	2.024	2.8844	2.1083	5.0755	6.3579	6.6619	5.7464	3.5186	5.3571	4.3683	5.6174	4.4273	4.3698	4.1865	2.9762	3.9153	4.1003	4.1122	2.15	0	0	0	0	1.0949	2.1103	3.7639	2.1337	2.0109	6.965	5.629	6.57	5.3976	5.7192	4.0591	3.1545	2.9691	4.8362	6.537	4.912	6.2344	1.9493	6.3258	2.2861	1.8763	0.97882	3.5575	2.0245	3.918	1.9268	1.8306	2.9372	4.4296
glyS	28.382	21.795	26.299	28.005	31.345	24.652	26.598	22.941	27.329	31.163	25.359	27.489	16.778	18.828	22.721	17.654	18.457	17.947	20.371	20.981	21.252	20.191	21.083	17.257	25.432	26.647	25.448	23.457	22.5	25.118	22.47	27.67	22.941	26.166	25.794	27.407	18.451	19.533	17.2	15.951	18.289	13.604	21.851	16.424	18.993	21.643	21.337	19.103	27.86	28.145	29.565	25.908	24.021	24.355	24.185	23.753	26.115	28.327	22.104	27.016	26.315	25.303	17.146	22.515	18.598	19.566	15.184	19.59	20.231	21.968	17.623	19.49
gmk	0.78838	3.0062	0.75139	1.0372	2.0896	0	0	0	0																2.1193	1.4804	2.4627	1.1729	0	2.1842	0	0	0																1.1608	0	2.19	0	0	0	0	0	0															
gnd	29.17	31.566	31.558	39.415	39.703	34.924	41.943	45.883	42.634	41.292	39.191	39.269	43.144	50.946	44.305	42.174	44.99	44.341	48.246	41.961	44.528	41.343	46.382	43.649	34.969	27.388	28.732	38.704	36.428	33.855	37.075	37.632	36.051	39.772	40.675	39.153	43.053	44.206	44.076	43.864	41.39	43.727	43.701	52.556	47.482	45.167	48.009	45.244	44.111	39.403	38.325	42.101	42.322	37.547	39.957	35.629	37.722	43.58	45.436	42.601	41.909	41.117	44.579	39.402	44.047	40.021	39.478	35.262	37.572	42.105	43.079	38.981
gnsA																			0	0	0	0	0	0																			0	0	0	0	0	0																			0	0	0	0	0	0
gnsB	0.78838	0.75156	0.75139	0	0	0	0	0	0	0.77909	1.5369	1.5708	0	2.215	0	0	0	0	0	0	1.012	0.96145	1.0541	1.0151	0	0.74021	0	0	0	0	0	0	0	1.0466	1.9841	1.9576	0	1.0281	0	0	0	1.9434	0	0	0	1.882	0	1.0054	0	0	0	0	0	0	0	0	0	0	0	0	0.97464	1.0543	0	0	0	1.7787	2.0245	0.9795	1.9268	2.746	2.9372	2.6578
gntY	6.307	4.5094	6.0111	7.2606	9.4034	9.2445	7.161	7.6472	7.6522	4.6745	3.8422	3.9269	8.3891	7.7526	6.8162	2.9424	8.0751	4.2229	9.6493	9.4413	8.0961	6.7302	6.3248	6.0906	3.179	5.9216	6.5673	8.21	6.4285	9.8288	8.9879	8.8545	7.6472	9.4196	8.9286	7.8305	8.2006	7.1964	5.3751	6.9784	5.7754	6.802	6.9525	6.5695	8.4413	5.6459	7.468	5.0272	5.8041	9.0064	8.76	7.5566	9.1507	8.1182	5.2576	5.9382	7.7379	10.895	9.8241	8.3125	8.7718	10.543	10.288	10.32	10.767	9.783	7.0857	9.795	8.6704	8.2379	8.8116	6.2015
gor	1.5768	2.2547	1.5028	0	0	0	0	0	0	0	0.76845	0.78539	0	0	0	0	0	0							0	2.2206	1.6418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	2.2516	4.38	0	0	0	0	0	0.96724	0	0	0	0	0	0	0	0	0						
gpmA	6.307	6.0125	8.2653	9.335	8.3585	9.2445	10.23	10.925	8.7454	11.686	10.758	10.995	19.175	17.72	14.768	15.693	20.765	22.17	17.154	23.079	18.216	13.46	18.974	13.196	9.5369	8.1423	7.3882	8.21	8.5713	7.6446	7.8644	8.8545	7.6472	10.466	11.905	10.767	12.301	13.365	15.05	14.954	15.401	11.661	17.878	20.803	18.993	16.938	22.404	17.092	9.2866	13.51	14.235	9.7157	10.295	7.1035	9.4636	9.8969	9.6724	8.716	17.192	10.391	7.7971	12.652	10.288	10.32	12.725	13.34	12.147	15.672	11.561	18.306	21.539	13.289
gpmI	10.249	9.7703	7.5139	3.1117	4.1793	5.1358	3.069	3.2774	3.2795	4.6745	3.8422	4.7123	4.7938	3.3226	4.5441	2.9424	3.4608	2.1115	1.0721	4.1961	3.036	2.8844	3.1624	4.0604	3.179	7.4021	9.03	2.3457	3.2142	2.1842	2.247	4.4273	3.2774	2.0932	0.99207	0.97882	2.0501	2.0561	2.15	0.99691	0.96256	1.9434	0.99321	1.0949	0	0.94098	0	1.0054	5.8041	3.3774	2.19	4.3181	3.4315	4.0591	2.103	0.98969	3.869	3.2685	2.456	4.1562	2.9239	4.2172	3.4292	1.8763	2.9364	2.6681	2.0245	1.959	1.9268	1.8306	0	0.88592
gpt	0	0.75156	0	0	0	0	0	0	1.0932																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
greA	3.9419	5.2609	3.7569	4.1489	2.0896	2.0543	3.069	2.1849	2.1864	3.1163	3.0738	4.7123	2.3969	1.1075	2.2721	1.9616	2.3072	1.0557	2.1443	2.0981	2.024	1.9229	1.0541	2.0302	3.179	4.4412	3.2836	2.3457	6.4285	4.3683	1.1235	1.1068	4.3698	2.0932	4.9604	2.9364	2.0501	3.0842	2.15	1.9938	1.9251	2.9151	1.9864	3.2847	2.1103	1.882	2.1337	2.0109	3.4825	3.3774	3.285	2.159	3.4315	2.0296	4.206	1.9794	3.869	4.358	2.456	2.0781	2.9239	3.1629	2.2861	2.8144	3.9153	2.6681	2.0245	2.9385	1.9268	2.746	1.9581	1.7718
groL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5771	6.2942	7.0841	7.6916	6.3248	11.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.966	6.5695	7.3861	6.5869	6.4012	9.0489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0735	0	7.707	5.4919	7.8325	7.0874
grpE	7.8838	5.2609	7.5139	6.2233	5.2241	5.1358	5.115	6.5547	7.6522	9.349	9.2214	7.8539	9.5876	9.9677	10.224	12.75	8.0751	14.78	13.938	14.686	15.18	12.499	12.65	12.181	4.2386	7.4021	4.9255	8.21	7.4999	8.7367	5.6174	6.6409	4.3698	11.513	11.905	9.7882	9.2256	11.309	11.825	10.966	12.513	12.632	11.919	14.234	12.662	11.292	14.936	14.076	5.8041	5.629	4.38	8.6361	8.0069	6.0887	10.515	10.887	9.6724	11.984	13.508	12.469	13.645	17.923	12.574	13.134	11.746	14.23	12.147	13.713	12.524	13.73	13.707	11.517
grxB										0	2.3053	0	0	2.215	1.136	3.9232	2.3072	4.2229	2.1443	5.2451	4.048	5.7687	5.2707	8.1207										0	0	0	0	0	0	0	0	0	1.9864	2.1898	1.0552	2.8229	2.1337	5.0272										0	0	0	0	0	0	2.8144	0	0.88936	5.0612	7.836	4.8169	5.4919	5.8744	6.2015
grxC	0	0	0	1.0372	2.0896	1.0272	0	0	0	0	0	0	4.7938	3.3226	3.4081	2.9424	3.4608	2.1115	4.2886	4.1961	3.036	1.9229	3.1624	2.0302	0	0	0	2.3457	2.1428	1.0921	2.247	2.2136	2.1849	0	0	0	3.0752	4.1122	2.15	3.9876	2.8877	3.8868	2.9796	2.1898	4.2207	3.7639	4.2674	4.0217	0	0	0	3.2386	3.4315	2.0296	3.1545	1.9794	1.9345	0	0	3.1172	5.8478	2.1086	3.4292	4.6907	3.9153	2.6681	5.0612	4.8975	4.8169	3.6613	2.9372	3.5437
gshB	0.78838	0.75156	2.2542	0	0	0	2.046	0	0	2.3373	2.3053	2.3562	1.1984	0	1.136	1.9616	1.1536	0	1.0721	2.0981	1.012	0.96145	3.1624	2.0302	1.0597	2.2206	0.82091	1.1729	0	0	0	0	0	0	0	0.97882	1.0251	0	1.075	0	0	0	1.9864	1.0949	1.0552	2.8229	0	1.0054	0	0	0	0	0	0	0	0	0	0	0	1.0391	0	0	0	0	0	0	1.0122	0	1.9268	1.8306	0.97906	3.5437
gsp										2.3373	1.5369	2.3562	0	0	0	0	0	0	0	2.0981	2.024	1.9229	2.1083	1.0151										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88592
gst	0.78838	0.75156	0.75139	1.0372	1.0448	1.0272	1.023	1.0925	1.0932	1.5582	2.3053	2.3562	2.3969	1.1075	1.136	0.98079	2.3072	1.0557	1.0721	1.049	1.012	2.8844	3.1624	0	1.0597	0.74021	0.82091	0	1.0714	1.0921	1.1235	0	1.0925	2.0932	0.99207	0.97882	1.0251	1.0281	2.15	4.9845	1.9251	1.9434	4.966	3.2847	4.2207	4.7049	5.3343	5.0272	0	0	0	1.0795	1.1438	2.0296	0	0.98969	0.96724	1.0895	1.228	1.0391	0.97464	1.0543	1.1431	0.93814	0.97882	0.88936	1.0122	0.9795	0.96338	2.746	1.9581	1.7718
guaA	26.017	23.298	27.801	29.042	25.076	23.625	25.575	25.126	26.236	17.919	18.443	18.849	9.5876	14.398	12.496	10.789	10.382	8.4458	11.794	10.49	13.156	10.576	14.758	11.166	22.253	19.245	22.165	17.593	18.214	20.75	19.099	23.243	21.849	17.793	16.865	12.725	6.1504	6.1683	6.4501	3.9876	5.7754	5.8303	6.9525	5.4746	6.331	5.6459	3.2006	6.0326	23.217	27.019	24.09	17.272	19.445	16.236	21.03	21.773	17.41	20.7	27.016	20.781	16.569	17.923	19.432	10.32	10.767	9.783	10.122	6.8565	7.707	12.815	15.665	18.604
