# Program:featureCounts v1.5.0-p3; Command:"/users/joonhoonkim/bin/anaconda/bin/featureCounts" "-T" "24" "--primary" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "NC_017638_pBbA5c_pTrc99A.gtf" "-o" "RNA_Seq_counts_s1.txt" "mapped/bwa_all/3A-0-1.bam" "mapped/bwa_all/3A-0-2.bam" "mapped/bwa_all/3A-1-1.bam" "mapped/bwa_all/3A-12-1.bam" "mapped/bwa_all/3A-12-2.bam" "mapped/bwa_all/3A-1-2.bam" "mapped/bwa_all/3Amk-0-1.bam" "mapped/bwa_all/3Amk-0-2.bam" "mapped/bwa_all/3Amk-12-1.bam" "mapped/bwa_all/3Amk-12-2.bam" "mapped/bwa_all/3Amk-1-2.bam" "mapped/bwa_all/3Amk-1-3.bam" "mapped/bwa_all/WT-0-1.bam" "mapped/bwa_all/WT-0-2.bam" "mapped/bwa_all/WT-1-1.bam" "mapped/bwa_all/WT-12-1.bam" "mapped/bwa_all/WT-12-3.bam" "mapped/bwa_all/WT-1-2.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/bwa_all/3A-0-1.bam	mapped/bwa_all/3A-0-2.bam	mapped/bwa_all/3A-1-1.bam	mapped/bwa_all/3A-12-1.bam	mapped/bwa_all/3A-12-2.bam	mapped/bwa_all/3A-1-2.bam	mapped/bwa_all/3Amk-0-1.bam	mapped/bwa_all/3Amk-0-2.bam	mapped/bwa_all/3Amk-12-1.bam	mapped/bwa_all/3Amk-12-2.bam	mapped/bwa_all/3Amk-1-2.bam	mapped/bwa_all/3Amk-1-3.bam	mapped/bwa_all/WT-0-1.bam	mapped/bwa_all/WT-0-2.bam	mapped/bwa_all/WT-1-1.bam	mapped/bwa_all/WT-12-1.bam	mapped/bwa_all/WT-12-3.bam	mapped/bwa_all/WT-1-2.bam
potE	NC_017638.1	707206	708525	-	1320	38	0	3	15	33	0	16	28	6	3	22	10	2	12	28	0	5	8
speF	NC_017638.1	708522	710720	-	2199	1	1	0	1	23	24	12	19	7	24	19	17	8	13	32	0	0	6
ybfK	NC_017638.1	710843	711100	+	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kdpE	NC_017638.1	711316	711993	-	678	52	15	0	10	9	2	13	18	7	7	46	20	15	1	20	0	0	7
kdpD	NC_017638.1	711990	714674	-	2685	265	208	238	243	272	226	161	211	217	102	453	182	256	221	522	72	58	359
kdpC	NC_017638.1	714667	715239	-	573	174	84	24	56	27	39	97	152	45	7	108	14	119	152	269	3	49	109
kdpB	NC_017638.1	715248	717296	-	2049	29	10	16	10	0	9	20	10	10	18	9	0	3	10	22	4	3	5
kdpA	NC_017638.1	717319	718992	-	1674	0	4	0	0	0	14	12	0	0	8	0	0	0	1	4	0	0	0
kdpF	NC_017638.1	718992	719081	-	90	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ybfA	NC_017638.1	719394	719600	+	207	31	61	94	61	33	91	58	44	9	12	30	53	20	30	96	388	368	65
rhsC	NC_017638.1	719843	724036	+	4194	158	125	98	46	47	116	177	173	79	47	219	131	92	88	132	15	14	39
ybfB	NC_017638.1	724036	724362	+	327	16	10	5	6	9	6	8	45	3	12	78	43	13	12	0	2	5	0
ybfO	NC_017638.1	724480	725913	+	1434	30	31	24	11	21	21	21	35	16	6	85	25	27	11	18	1	4	3
ybfC	NC_017638.1	725910	726479	+	570	9	0	9	8	15	14	7	7	2	0	6	25	6	5	15	10	1	0
ybfQ	NC_017638.1	726705	726959	+	255	1	1	0	5	13	0	4	4	0	0	0	0	0	1	0	0	0	0
ybfL	NC_017638.1	727160	727846	+	687	7	16	32	2	0	5	6	0	2	0	22	0	1	0	2	0	1	0
ybgA	NC_017638.1	727994	728503	+	510	154	78	109	233	238	159	128	72	265	179	444	200	90	104	771	28	46	392
phr	NC_017638.1	728500	729918	+	1419	404	351	157	528	487	250	380	350	298	142	662	415	202	226	1160	52	79	589
ybgH	NC_017638.1	730068	731549	-	1482	85	41	20	12	21	8	79	174	27	15	26	1	237	313	58	2	1	33
ybgI	NC_017638.1	731820	732563	+	744	1035	682	1127	395	294	1389	501	474	152	174	592	302	919	529	1625	20	11	1142
ybgJ	NC_017638.1	732586	733242	+	657	524	221	210	164	161	382	157	160	59	49	182	43	368	179	668	7	23	209
ybgK	NC_017638.1	733236	734168	+	933	345	303	233	157	122	403	263	201	44	50	250	106	482	287	655	5	27	316
ybgL	NC_017638.1	734158	734892	+	735	540	465	276	117	92	652	486	381	92	46	602	246	232	514	1138	6	32	548
nei	NC_017638.1	734928	735719	+	792	793	528	202	9	1	339	350	269	86	84	528	176	449	508	834	26	23	213
abrB	NC_017638.1	735716	736762	-	1047	390	346	376	22	17	458	215	251	46	29	264	200	235	344	317	0	0	475
ybgO	NC_017638.1	736914	737975	-	1062	0	2	9	2	0	0	4	0	8	1	0	12	2	2	16	0	0	10
ybgP	NC_017638.1	737972	738700	-	729	16	3	0	0	0	5	1	1	0	0	0	0	13	0	11	0	0	0
ybgQ	NC_017638.1	738715	741105	-	2391	6	0	0	0	4	3	0	4	4	1	0	0	1	0	7	0	0	0
ybgD	NC_017638.1	741222	741788	-	567	3	0	3	0	0	3	3	0	0	0	0	0	1	0	14	0	0	15
gltA	NC_017638.1	742178	743461	-	1284	1408	1000	4634	4178	3249	10073	760	886	1690	968	4269	1615	753	828	4527	104	70	4545
sdhC	NC_017638.1	744155	744559	+	405	101	43	151	6	13	210	43	78	90	119	165	80	15	7	85	2	2	96
sdhD	NC_017638.1	744553	744900	+	348	75	81	88	1	0	89	26	45	37	24	104	102	19	15	82	0	0	108
sdhA	NC_017638.1	744900	746666	+	1767	862	697	1702	128	92	2306	406	291	424	141	907	417	133	199	2663	6	5	1355
sdhB	NC_017638.1	746682	747398	+	717	845	796	1895	107	55	2415	315	358	484	302	1005	542	331	328	2556	2	6	1753
sucA	NC_017638.1	747699	750500	+	2802	4017	3079	2600	231	141	5535	1780	1908	954	451	3452	1184	2174	2203	5767	8	17	3598
sucB	NC_017638.1	750515	751732	+	1218	5060	3481	4558	396	375	8699	2468	2305	1649	1088	4622	2097	3614	3034	13203	17	68	8606
sucC	NC_017638.1	752007	753173	+	1167	1199	1039	1066	212	159	1834	613	608	550	187	1678	700	810	554	3176	16	3	2295
sucD	NC_017638.1	753173	754042	+	870	2761	2311	3155	353	406	6562	1422	1382	614	271	4767	1901	9468	1454	13836	58	24	4963
mngR	NC_017638.1	754146	754868	-	723	404	234	138	79	84	235	261	241	32	45	138	75	319	317	202	1	23	110
mngA	NC_017638.1	755037	756953	+	1917	19	18	9	0	0	23	3	3	0	0	22	9	14	4	8	0	10	1
mngB	NC_017638.1	756971	759604	+	2634	248	128	76	69	76	119	182	247	57	44	192	111	152	112	234	4	12	150
ECDH1ME8569_0691	NC_017638.1	759629	759856	+	228	1	3	15	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0
cydA	NC_017638.1	760451	762019	+	1569	105886	57903	9888	4363	3955	24096	43414	39198	4170	1350	17161	7741	60630	71763	33609	1311	2081	15622
cydB	NC_017638.1	762035	763174	+	1140	17249	14607	2142	1171	1255	4658	11614	11084	1382	578	4926	1937	11471	12309	6421	1021	1632	3741
ybgT	NC_017638.1	763189	763302	+	114	3346	2568	461	222	171	745	2129	1926	329	203	864	383	1796	1503	866	255	347	657
ybgE	NC_017638.1	763302	763595	+	294	1098	705	129	60	30	126	796	712	109	131	235	107	716	442	271	90	188	77
ybgC	NC_017638.1	763745	764149	+	405	562	287	172	69	63	169	338	412	95	76	166	129	310	576	283	20	14	309
tolQ	NC_017638.1	764155	764838	+	684	550	471	107	60	66	120	611	577	79	86	183	152	511	820	215	31	14	69
tolR	NC_017638.1	764842	765270	+	429	199	141	32	36	19	59	181	82	43	11	52	50	273	478	104	11	5	25
tolA	NC_017638.1	765335	766600	+	1266	1306	1042	457	757	557	1025	1291	993	562	278	705	615	1105	2669	1340	115	103	921
tolB	NC_017638.1	766733	768025	+	1293	4510	3807	3113	783	624	4608	3402	3093	1137	816	2702	1336	4668	4157	5798	25	139	3756
pal	NC_017638.1	768060	768581	+	522	9870	7630	3729	918	770	7400	6681	5954	990	387	5848	2631	6048	8076	8211	123	99	4454
ybgF	NC_017638.1	768591	769382	+	792	5794	4786	984	480	468	2009	4521	3889	556	153	4436	1243	3813	5452	4242	89	117	1486
nadA	NC_017638.1	771078	772121	+	1044	3640	3296	630	229	265	944	3068	2970	316	97	648	228	3686	4297	771	267	408	312
pnuC	NC_017638.1	772159	772878	+	720	3926	2469	1951	426	521	2577	2791	2953	371	188	1032	706	2538	2691	980	304	396	898
zitB	NC_017638.1	772875	773816	-	942	388	289	602	726	775	398	259	244	182	95	332	133	395	177	918	6	38	518
ybgS	NC_017638.1	773930	774310	-	381	108	114	161	1406	1422	270	65	110	382	246	810	400	54	21	1671	567	999	1292
aroG	NC_017638.1	774626	775678	+	1053	1339	1081	594	359	275	1318	946	824	138	199	399	256	1207	1387	933	25	40	637
gpmA	NC_017638.1	775836	776588	-	753	7750	7597	9626	5066	4381	18352	6179	5086	2424	768	9357	6392	4287	4413	33648	1745	2589	19826
galM	NC_017638.1	776790	777830	-	1041	1339	1044	168	54	79	596	747	679	171	115	400	198	1460	1019	1135	4	37	346
galK	NC_017638.1	777824	778972	-	1149	1094	814	116	79	9	314	525	522	42	29	203	19	873	816	617	8	9	194
galT	NC_017638.1	778976	780022	-	1047	1445	975	129	35	36	244	572	555	83	8	101	91	925	1149	236	7	1	136
galE	NC_017638.1	780032	781048	-	1017	1191	1067	52	68	33	175	527	556	22	47	182	65	1018	1169	360	7	3	151
modF	NC_017638.1	781309	782781	-	1473	1108	638	155	62	171	161	348	350	83	25	224	97	360	333	210	7	24	89
modE	NC_017638.1	782849	783637	-	789	153	88	20	28	46	53	92	101	12	12	58	69	80	141	64	1	0	63
ybhT	NC_017638.1	783766	783915	+	150	0	8	1	0	0	9	0	14	6	16	1	13	0	3	17	0	0	21
modA	NC_017638.1	784082	784855	+	774	1268	726	187	24	5	247	629	596	53	29	629	330	481	366	171	12	17	95
modB	NC_017638.1	784855	785544	+	690	656	433	151	6	0	274	276	269	10	10	268	167	369	309	193	0	2	247
modC	NC_017638.1	785547	786605	+	1059	705	512	172	10	13	260	451	375	48	16	293	169	328	342	167	1	0	169
ybhA	NC_017638.1	786606	787424	-	819	139	67	22	0	17	21	123	102	3	7	43	2	152	206	54	0	6	19
ybhE	NC_017638.1	787579	788574	+	996	1039	900	614	409	369	1215	726	752	225	129	675	364	1116	753	2176	54	65	1442
ybhD	NC_017638.1	788615	789631	-	1017	3	0	19	4	0	6	5	7	0	4	0	28	0	7	0	0	0	11
ybhH	NC_017638.1	789752	790804	+	1053	0	0	0	0	0	0	0	0	0	0	0	16	7	0	2	0	0	0
ybhI	NC_017638.1	790880	792313	+	1434	0	1	0	3	0	0	1	3	0	0	0	0	0	1	0	0	0	0
ybhJ	NC_017638.1	792496	794757	+	2262	19	22	0	32	10	34	12	13	3	17	23	16	2	3	44	0	9	5
ybhC	NC_017638.1	794991	796274	-	1284	401	520	80	107	104	65	386	509	95	65	103	67	718	1039	114	0	4	111
ybhB	NC_017638.1	796426	796902	-	477	89	159	33	127	124	36	96	91	53	46	53	35	87	105	181	7	7	159
bioA	NC_017638.1	796961	798193	-	1233	168	98	0	4	9	22	51	67	59	25	85	2	54	37	53	0	4	11
bioB	NC_017638.1	798337	799377	+	1041	267	212	54	0	6	13	154	105	47	39	106	41	134	146	131	0	26	45
bioF	NC_017638.1	799374	800528	+	1155	189	146	18	1	0	9	64	28	85	34	68	54	77	106	132	13	3	52
bioC	NC_017638.1	800515	801270	+	756	98	83	17	0	0	34	31	24	24	24	49	22	40	45	57	0	0	31
bioD	NC_017638.1	801263	801940	+	678	154	105	13	5	11	22	52	27	33	6	87	1	27	28	98	0	0	0
uvrB	NC_017638.1	802519	804540	+	2022	979	594	623	1262	1004	1103	593	596	575	398	1301	783	852	647	1362	285	333	863
ybhK	NC_017638.1	804732	805640	-	909	190	156	85	23	40	82	90	26	14	26	72	46	156	281	105	3	13	74
moaA	NC_017638.1	806037	807026	+	990	316	280	142	123	122	204	284	290	137	52	300	80	468	618	458	77	72	241
moaB	NC_017638.1	807048	807560	+	513	96	182	48	286	188	112	94	89	87	57	166	10	138	260	429	31	29	192
moaC	NC_017638.1	807563	808048	+	486	87	77	71	112	94	70	86	44	32	30	93	23	159	184	253	16	11	158
moaD	NC_017638.1	808041	808286	+	246	45	52	7	82	25	15	46	76	41	18	68	14	72	89	199	17	45	72
moaE	NC_017638.1	808288	808740	+	453	26	68	16	41	21	14	36	44	32	8	24	1	66	28	65	1	11	49
ybhL	NC_017638.1	808877	809581	+	705	3346	2468	2953	5208	5205	5786	1890	1945	1519	852	3049	1832	2056	2183	10923	636	982	7163
ybhM	NC_017638.1	809786	810499	+	714	17	29	0	13	4	29	7	40	8	0	58	18	24	10	76	0	10	39
ybhN	NC_017638.1	810535	811491	-	957	63	39	137	233	213	192	59	110	132	34	106	184	16	74	336	19	31	546
ybhO	NC_017638.1	811491	812732	-	1242	147	135	66	273	433	158	136	130	79	29	133	53	137	56	503	28	45	263
ybhP	NC_017638.1	812729	813490	-	762	81	107	69	259	282	135	32	55	36	42	83	23	35	32	382	15	29	158
ybhQ	NC_017638.1	813623	814033	+	411	230	264	23	13	27	50	137	185	15	34	27	14	260	177	93	1	1	79
ybhR	NC_017638.1	813995	815101	-	1107	311	282	262	149	172	278	207	197	272	232	401	216	296	345	701	0	27	466
ybhS	NC_017638.1	815112	816245	-	1134	229	197	112	83	83	175	102	80	117	170	151	39	168	122	295	0	14	247
ybhF	NC_017638.1	816238	817974	-	1737	637	525	332	183	193	485	307	327	295	171	549	207	476	371	1078	19	51	698
ybhG	NC_017638.1	817967	818965	-	999	273	164	104	109	149	210	116	217	174	76	169	80	245	122	450	2	26	316
ybiH	NC_017638.1	818965	819636	-	672	120	145	158	107	122	171	118	105	113	137	102	79	139	102	478	26	13	238
rhlE	NC_017638.1	819865	821229	+	1365	506	446	58	39	57	57	582	579	45	30	272	86	376	673	154	7	7	53
ybiA	NC_017638.1	821461	821943	-	483	72	42	7	8	0	0	24	12	5	6	0	5	37	55	15	0	8	17
dinG	NC_017638.1	822063	824213	+	2151	540	422	322	233	212	543	446	270	109	95	293	177	632	463	723	20	23	508
ybiB	NC_017638.1	824241	825203	+	963	298	258	112	588	286	334	248	177	139	64	336	92	306	260	1073	30	20	497
ybiC	NC_017638.1	825344	826429	+	1086	648	463	650	258	269	1132	282	299	139	104	619	118	324	316	1430	25	25	791
ybiJ	NC_017638.1	826658	826918	-	261	92	42	139	495	459	179	65	21	211	180	380	214	59	22	422	110	230	302
ybiI	NC_017638.1	827183	827449	-	267	0	0	29	56	101	21	0	1	43	26	45	3	0	6	102	7	15	214
ybiX	NC_017638.1	827523	828200	-	678	49	16	0	5	4	31	5	0	0	22	31	7	47	23	37	14	36	42
fiu	NC_017638.1	828242	830524	-	2283	16	1	15	23	3	8	5	7	31	48	10	15	5	7	13	15	49	0
ybiM	NC_017638.1	830789	831049	-	261	0	4	12	439	445	5	6	11	117	63	14	21	0	0	34	485	845	20
ybiN	NC_017638.1	831325	832251	+	927	179	169	59	49	8	90	192	145	12	2	59	36	98	145	110	5	0	40
ybiO	NC_017638.1	832248	834473	-	2226	255	202	171	297	353	192	135	142	365	298	194	93	96	76	511	28	66	242
glnQ	NC_017638.1	834734	835456	-	723	98	66	27	144	145	127	81	33	241	76	37	18	21	53	583	1295	1812	524
glnP	NC_017638.1	835453	836112	-	660	45	30	15	76	39	39	30	9	114	24	48	19	23	22	306	739	1274	177
glnH	NC_017638.1	836251	836997	-	747	261	179	165	411	408	306	205	131	387	135	318	152	161	138	4076	2543	3643	1850
dps	NC_017638.1	837401	837904	-	504	6637	6399	7534	76741	70962	11658	6558	6420	29419	14443	16031	9257	3778	4851	64593	63269	93398	47367
rhtA	NC_017638.1	838203	839090	-	888	110	90	42	24	6	32	83	45	27	22	54	19	43	87	74	0	0	6
ompX	NC_017638.1	839443	839958	+	516	17065	13054	29677	9897	10230	37315	9699	10046	7680	5811	25736	10032	8977	8409	61066	1223	1989	65862
ybiP	NC_017638.1	840007	841590	-	1584	46	72	12	9	5	25	81	33	11	14	29	58	109	73	14	10	25	9
yliL	NC_017638.1	841664	841933	+	270	6	5	18	0	0	0	0	2	2	0	0	0	7	3	0	0	0	18
mntR	NC_017638.1	842176	842643	+	468	131	176	129	35	30	221	123	152	16	22	156	76	134	172	101	11	24	105
ybiR	NC_017638.1	842640	843758	+	1119	207	173	96	34	59	194	188	245	14	42	179	106	225	256	77	0	20	61
ybiS	NC_017638.1	843817	844737	-	921	693	539	57	140	81	95	436	489	106	67	168	100	642	913	222	33	56	99
ybiT	NC_017638.1	844956	846548	+	1593	1472	1259	296	82	99	420	1511	1571	274	196	419	241	1211	2236	790	9	37	269
ybiU	NC_017638.1	846789	848054	-	1266	75	63	42	15	16	135	6	24	25	8	51	17	24	59	321	20	48	95
ybiV	NC_017638.1	848206	849021	-	816	237	181	50	164	115	106	157	167	28	47	100	50	180	189	92	25	20	65
ybiW	NC_017638.1	849167	851599	-	2433	68	37	9	13	0	62	38	29	24	23	54	22	95	67	46	0	4	13
ybiY	NC_017638.1	851605	852504	-	900	18	7	0	0	0	0	1	2	0	0	11	0	2	9	16	0	0	0
fsaA	NC_017638.1	852635	853297	+	663	176	120	134	20	15	209	75	77	35	28	95	54	146	157	92	0	8	119
moeB	NC_017638.1	853373	854122	-	750	674	624	237	183	198	386	486	348	96	24	228	177	514	782	388	1	14	100
moeA	NC_017638.1	854122	855357	-	1236	1284	857	277	119	114	438	492	487	47	34	326	121	1363	539	666	0	12	324
iaaA	NC_017638.1	855561	856526	+	966	159	130	826	132	92	950	102	76	64	52	221	77	114	101	431	8	13	239
gsiA	NC_017638.1	856513	858384	+	1872	305	207	1067	196	300	2185	143	184	148	63	222	96	209	229	761	7	37	478
gsiC	NC_017638.1	859959	860879	+	921	212	177	1608	95	121	2441	106	141	107	98	117	149	195	183	744	0	4	724
gsiD	NC_017638.1	860882	861793	+	912	101	86	334	22	9	318	20	33	26	15	75	27	49	55	76	0	0	133
yliE	NC_017638.1	862022	864319	+	2298	202	217	114	0	0	179	189	188	20	20	40	40	236	468	50	0	1	8
yliF	NC_017638.1	864327	865655	+	1329	111	46	75	0	7	29	79	45	1	21	18	38	75	118	26	1	0	4
yliG	NC_017638.1	865702	867027	-	1326	152	144	37	42	14	40	177	191	44	38	36	32	107	233	118	10	1	78
yliH	NC_017638.1	867240	867623	+	384	172	256	1378	1468	1411	1503	201	224	320	224	1035	774	72	65	1248	507	916	1634
yliI	NC_017638.1	867734	868849	+	1116	100	128	86	101	130	70	76	67	130	53	531	334	36	45	248	25	76	174
yliJ	NC_017638.1	868846	869472	-	627	576	474	393	240	177	607	417	396	180	222	210	201	497	470	1635	8	29	1437
dacC	NC_017638.1	869710	870921	+	1212	994	654	728	1667	1605	1512	703	642	283	172	901	524	576	567	3117	88	104	1631
deoR	NC_017638.1	870968	871726	-	759	236	232	135	8	32	118	228	250	122	92	226	196	256	197	160	15	0	114
ybjG	NC_017638.1	871784	872380	-	597	256	177	78	3	19	96	149	218	33	39	143	116	180	222	207	0	0	59
cmr	NC_017638.1	872665	873897	+	1233	347	206	137	680	608	177	240	319	25	29	170	82	272	309	466	57	52	274
ybjH	NC_017638.1	873938	874216	-	279	62	36	8	3	12	23	42	35	0	1	17	0	22	69	58	0	0	38
ybjI	NC_017638.1	874308	875123	-	816	552	288	88	109	104	170	163	125	40	20	146	56	250	573	158	0	7	66
ybjJ	NC_017638.1	875123	876331	-	1209	266	182	195	102	88	166	141	101	54	50	74	55	210	160	116	0	0	76
ybjK	NC_017638.1	876415	876951	+	537	56	38	21	3	12	9	47	0	0	2	8	1	14	26	5	0	0	1
ybjL	NC_017638.1	877126	878811	-	1686	899	715	530	184	308	685	563	606	217	193	595	300	543	813	1076	118	221	772
ybjM	NC_017638.1	879081	879458	+	378	175	96	40	0	12	32	87	110	85	57	90	36	266	310	234	0	4	93
grxA	NC_017638.1	879488	879745	-	258	162	155	495	229	188	486	129	186	186	140	250	90	184	265	608	934	1692	708
ybjC	NC_017638.1	879905	880192	+	288	53	45	230	62	39	268	53	53	23	30	68	113	49	53	111	0	0	119
nfsA	NC_017638.1	880176	880898	+	723	165	141	44	34	14	78	109	100	21	9	32	57	98	109	137	9	0	39
rimK	NC_017638.1	880959	881861	+	903	141	124	72	21	12	132	73	143	14	25	82	72	155	165	168	0	10	50
ybjN	NC_017638.1	881949	882425	+	477	1438	1038	207	47	44	451	1007	738	259	36	353	270	1167	1745	623	51	59	254
potF	NC_017638.1	882776	883888	+	1113	133	110	93	280	266	127	113	135	169	107	259	41	90	94	669	1	7	332
potG	NC_017638.1	883983	885116	+	1134	27	30	12	358	307	38	29	52	86	41	62	36	31	70	366	2	4	148
potH	NC_017638.1	885126	886079	+	954	6	4	29	96	87	24	30	21	17	12	0	13	5	6	84	0	0	87
potI	NC_017638.1	886076	886921	+	846	45	14	103	293	413	145	20	66	108	63	51	46	19	30	380	14	24	615
ybjO	NC_017638.1	886981	887469	+	489	13	15	7	7	0	0	16	28	17	4	30	0	11	27	12	0	0	4
rumB	NC_017638.1	887510	888637	+	1128	216	189	22	36	27	44	214	130	2	6	95	51	110	179	142	0	16	92
artJ	NC_017638.1	888836	889567	-	732	169	140	45	18	25	97	169	216	59	46	54	21	276	313	103	1	9	142
artM	NC_017638.1	889858	890526	-	669	839	624	289	146	149	291	738	966	369	347	600	420	694	1036	664	11	24	505
artQ	NC_017638.1	890526	891242	-	717	622	658	279	239	252	267	536	688	338	214	688	329	767	846	856	5	38	468
artI	NC_017638.1	891249	891980	-	732	843	857	138	455	349	355	893	767	433	352	738	377	849	1030	1060	24	51	494
artP	NC_017638.1	891998	892798	-	801	1138	940	332	411	408	335	917	846	593	483	1000	657	946	1472	1132	18	25	629
ybjP	NC_017638.1	892944	893459	-	516	633	505	645	902	806	944	364	355	471	318	1160	500	239	207	2727	7	33	2201
ybjQ	NC_017638.1	893585	893908	+	324	444	390	317	380	297	606	265	224	83	63	312	167	206	294	828	43	25	562
amiD	NC_017638.1	893905	894735	+	831	164	127	70	141	76	267	99	127	48	31	180	34	75	72	507	3	17	160
ybjS	NC_017638.1	894732	895781	-	1050	129	144	41	27	20	44	129	166	56	31	72	65	100	160	37	27	34	132
ybjT	NC_017638.1	895844	897274	-	1431	341	225	89	73	42	100	244	194	249	147	381	96	246	247	271	66	100	172
ltaE	NC_017638.1	897285	898286	-	1002	624	497	737	569	449	819	382	493	507	344	639	422	489	548	1303	106	234	756
poxB	NC_017638.1	898323	900041	-	1719	824	903	501	1774	1314	818	607	584	1516	582	1946	773	420	453	4031	397	596	2117
hcr	NC_017638.1	900174	901142	-	969	130	56	23	16	4	23	78	86	5	5	15	16	120	103	85	0	4	39
hcp	NC_017638.1	901154	902806	-	1653	152	115	61	21	0	95	98	94	10	12	64	37	217	165	188	1	1	107
ybjE	NC_017638.1	902950	903849	-	900	89	86	16	0	4	4	116	37	11	22	23	34	117	82	31	0	4	33
aqpZ	NC_017638.1	904344	905048	-	705	20	8	19	13	25	32	42	5	0	3	23	20	16	37	54	0	1	18
ybjD	NC_017638.1	905465	907123	+	1659	264	234	318	210	189	482	230	177	84	55	309	229	203	210	723	23	45	655
ybjX	NC_017638.1	907120	908112	-	993	1259	999	341	352	377	348	1108	966	72	137	333	179	865	1447	565	10	28	295
macA	NC_017638.1	908245	909342	+	1098	491	236	356	179	182	365	254	198	79	11	326	131	128	292	620	63	27	510
macB	NC_017638.1	909339	911285	+	1947	252	180	126	109	60	324	151	112	81	78	225	102	179	143	324	242	283	263
cspD	NC_017638.1	911358	911582	-	225	153	101	6	21	7	11	36	45	0	15	0	0	38	41	34	9	2	11
clpS	NC_017638.1	911905	912225	+	321	1646	1248	2351	489	495	2897	1015	944	654	532	1852	950	934	1305	3426	337	604	3099
clpA	NC_017638.1	912256	914532	+	2277	8502	5928	6150	11166	8785	13176	4378	4594	2261	858	6669	3015	5264	4370	22034	964	1426	10255
infA	NC_017638.1	915217	915435	-	219	2011	1879	239	17	10	380	1929	1743	264	286	527	351	1422	2837	515	74	181	207
aat	NC_017638.1	915720	916424	-	705	247	223	35	91	52	96	197	160	57	72	75	77	160	326	155	5	9	80
cydC	NC_017638.1	916466	918187	-	1722	671	434	101	137	89	242	397	396	128	70	219	112	444	467	275	15	24	295
cydD	NC_017638.1	918188	919954	-	1767	687	612	330	131	150	471	540	520	205	119	254	148	579	506	346	13	7	181
trxB	NC_017638.1	920077	921042	-	966	1245	488	46	16	25	176	328	269	31	20	141	37	695	719	205	3	7	65
lrp	NC_017638.1	921587	922081	+	495	2979	2493	672	198	195	953	1738	1575	163	94	533	166	3492	3934	1444	38	20	554
ftsK	NC_017638.1	922216	926205	+	3990	3419	2332	862	681	626	1486	1898	1692	418	380	828	521	2719	3000	2021	37	88	1100
lolA	NC_017638.1	926361	926975	+	615	369	339	140	60	56	176	223	217	31	42	93	61	328	202	225	6	0	255
ycaJ	NC_017638.1	926986	928329	+	1344	682	504	184	279	296	233	442	506	231	46	362	152	493	533	521	44	14	196
serS	NC_017638.1	928420	929712	+	1293	10077	7746	12690	2132	1590	22373	6977	7252	1706	1225	5194	2769	11258	12331	14171	545	839	8011
dmsA	NC_017638.1	929951	932395	+	2445	3513	2681	1225	76	47	2336	2236	2107	145	53	1791	709	4301	3802	1657	12	19	963
dmsB	NC_017638.1	932406	933023	+	618	1773	329	76	20	19	131	373	281	10	1	271	72	755	1197	120	1	0	91
dmsC	NC_017638.1	933025	933888	+	864	1683	852	158	25	11	265	773	611	11	10	477	89	1459	2081	94	2	1	73
ycaC	NC_017638.1	933923	934549	-	627	182	231	73	2246	1990	251	280	258	2729	1178	1100	960	157	59	2115	417	526	1161
ycaD	NC_017638.1	934863	936011	+	1149	147	65	40	5	14	26	143	216	50	48	113	22	146	220	68	14	28	91
ycaM	NC_017638.1	936221	937651	+	1431	140	128	24	13	43	4	181	86	32	25	10	40	122	140	49	0	25	43
ycaN	NC_017638.1	937652	938560	-	909	79	94	33	22	68	32	47	70	5	13	45	23	41	48	59	0	1	28
ycaK	NC_017638.1	938660	939250	+	591	73	58	13	0	0	48	48	33	7	0	24	8	59	103	13	0	0	27
pflA	NC_017638.1	939332	940072	-	741	1450	1104	178	79	26	248	821	704	137	82	286	133	1517	1052	665	66	85	277
pflB	NC_017638.1	940264	942546	-	2283	400101	357309	19607	21853	18486	46589	354233	373435	24916	10079	107775	47111	495697	585162	43082	29354	42984	25455
focA	NC_017638.1	942601	943458	-	858	11302	9373	1643	945	1087	1900	7701	8372	1536	1461	3370	1819	8845	11100	1815	902	1428	1138
ycaO	NC_017638.1	943864	945624	-	1761	1042	909	328	36	25	358	740	831	120	104	447	189	686	1012	402	2	11	330
ycaP	NC_017638.1	945754	946446	+	693	531	338	151	198	193	300	395	189	175	153	510	179	226	263	1159	7	51	576
serC	NC_017638.1	946645	947733	+	1089	1192	1186	454	184	131	854	1089	1151	261	102	576	221	1960	1691	1029	23	39	389
aroA	NC_017638.1	947804	949087	+	1284	439	385	82	34	78	120	345	383	90	41	132	30	590	712	389	5	7	84
ycaL	NC_017638.1	949256	950020	+	765	13	7	25	7	0	12	33	3	2	6	13	15	13	14	18	0	0	0
cmk	NC_017638.1	950193	950876	+	684	823	585	110	230	206	242	754	824	273	122	455	226	473	1084	427	11	31	214
rpsA	NC_017638.1	950987	952660	+	1674	40570	39211	4770	4692	3673	8148	32395	34201	3973	1827	17534	5242	36499	37133	13041	1145	1759	5155
